edge_A,edge_B,w_A_pct,w_B_pct,f_total_pct,n_paths,exp_cagr,median_cagr,max_dd_p50,max_dd_p95,P_dd_ge_10,P_dd_ge_20,P_dd_ge_30,P_dd_ge_40,P_dd_ge_50,P_technical_ruin
1.0,1.0,0,100,0.5,5000,0.2773100471414888,0.2753986953350569,0.053643672188142796,0.08812606374029436,0.0004447191011235955,0.0,0.0,0.0,0.0,0.0
1.0,1.0,0,100,1.0,5000,0.6257565022124892,0.6171105840703612,0.10518541666542403,0.1697124213239497,0.020855056179775282,0.0003110112359550562,1.348314606741573e-06,0.0,0.0,0.0
1.0,1.0,0,100,2.0,5000,1.6062977248909793,1.5508098660174643,0.20234951346833824,0.3147843325784179,0.14219393258426966,0.018587865168539327,0.0018840449438202247,0.00014674157303370787,7.865168539325843e-06,0.0
1.0,1.0,30,70,0.5,5000,0.2976873644575739,0.29706443921291104,0.029508958468441433,0.043506908144536505,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,30,70,1.0,5000,0.6802609273023509,0.6761669403573549,0.058517783558260233,0.08573634318102097,0.00010764044943820225,0.0,0.0,0.0,0.0,0.0
1.0,1.0,30,70,2.0,5000,1.7985079693618289,1.7682843823159071,0.11496702840507181,0.16662956893064643,0.014726741573033707,6.943820224719101e-05,0.0,0.0,0.0,0.0
1.0,1.0,50,50,0.5,5000,0.3109441653327888,0.31067644716444776,0.025850754256665838,0.039457773008259776,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,50,50,1.0,5000,0.7149630535794987,0.7122275831012282,0.0513290600844591,0.07769114981132466,3.2134831460674156e-05,0.0,0.0,0.0,0.0,0.0
1.0,1.0,50,50,2.0,5000,1.9166258736519128,1.8939788884751763,0.10091860827579618,0.15110484743131247,0.0070130337078651685,1.6179775280898875e-05,0.0,0.0,0.0,0.0
1.0,1.0,70,30,0.5,5000,0.32392574715248423,0.32336723814424373,0.03204197477470412,0.04802561058336014,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,70,30,1.0,5000,0.74822532076637,0.744876045351145,0.06328129857844654,0.09435413873417407,0.00026067415730337076,0.0,0.0,0.0,0.0,0.0
1.0,1.0,70,30,2.0,5000,2.0249508916108683,2.000870070008213,0.12340771558379457,0.18220458982142715,0.018649438202247192,0.00017730337078651685,0.0,0.0,0.0,0.0
1.0,1.0,100,0,0.5,5000,0.34285853477837075,0.34231889704686014,0.044057986320094306,0.06859259472525905,4.044943820224719e-06,0.0,0.0,0.0,0.0,0.0
1.0,1.0,100,0,1.0,5000,0.7951783095419758,0.7903631134381214,0.0869553446544653,0.13395309360567642,0.004179775280898876,3.3707865168539327e-06,0.0,0.0,0.0,0.0
1.0,1.0,100,0,2.0,5000,2.1659650751631103,2.1255331963946587,0.16929691046496226,0.2551764022448158,0.06448741573033707,0.0035943820224719103,9.078651685393259e-05,2.247191011235955e-07,0.0,0.0
0.75,1.0,0,100,0.5,5000,0.2773100471414888,0.2753986953350569,0.053643672188142796,0.08812606374029436,0.0004447191011235955,0.0,0.0,0.0,0.0,0.0
0.75,1.0,0,100,1.0,5000,0.6257565022124892,0.6171105840703612,0.10518541666542403,0.1697124213239497,0.020855056179775282,0.0003110112359550562,1.348314606741573e-06,0.0,0.0,0.0
0.75,1.0,0,100,2.0,5000,1.6062977248909793,1.5508098660174643,0.20234951346833824,0.3147843325784179,0.14219393258426966,0.018587865168539327,0.0018840449438202247,0.00014674157303370787,7.865168539325843e-06,0.0
0.75,1.0,30,70,0.5,5000,0.24785881622202424,0.24696094716251693,0.03310182728875942,0.0511826868033771,0.0,0.0,0.0,0.0,0.0,0.0
0.75,1.0,30,70,1.0,5000,0.5539861451815873,0.5494927227240479,0.06546977824322114,0.1004525752681772,0.0007638202247191011,0.0,0.0,0.0,0.0,0.0
0.75,1.0,30,70,2.0,5000,1.3954265191492095,1.3676380333347338,0.12811173518756896,0.1932981594087839,0.029248314606741575,0.0005624719101123595,6.741573033707865e-07,0.0,0.0,0.0
0.75,1.0,50,50,0.5,5000,0.22821407870328259,0.22785275409141992,0.02903817980845492,0.04612573567387075,0.0,0.0,0.0,0.0,0.0,0.0
0.75,1.0,50,50,1.0,5000,0.5060105931669842,0.5036060897030312,0.05751857727779107,0.09066059051209223,0.0003910112359550562,0.0,0.0,0.0,0.0,0.0
0.75,1.0,50,50,2.0,5000,1.2531475150512819,1.2370493517532395,0.11287253512289791,0.17515260896130158,0.01869438202247191,0.00027235955056179777,0.0,0.0,0.0,0.0
0.75,1.0,70,30,0.5,5000,0.20857213463686886,0.20836593783954171,0.03475138514230558,0.05740038983475565,0.0,0.0,0.0,0.0,0.0,0.0
0.75,1.0,70,30,1.0,5000,0.45804290044952123,0.4562185858996739,0.06872282086700826,0.11235588216437767,0.002099325842696629,0.0,0.0,0.0,0.0,0.0
0.75,1.0,70,30,2.0,5000,1.110841448548593,1.0972179086829865,0.1341651966581334,0.21460740425416652,0.044032584269662924,0.0016782022471910113,1.1910112359550562e-05,0.0,0.0,0.0
0.75,1.0,100,0,0.5,5000,0.17913516725434533,0.17891983987045035,0.05233618282195803,0.08777101705473936,0.0005820224719101124,0.0,0.0,0.0,0.0,0.0
0.75,1.0,100,0,1.0,5000,0.38630603827600624,0.3838364852265068,0.10288628311711537,0.1700500322812183,0.024094831460674156,0.00041932584269662923,2.247191011235955e-07,0.0,0.0,0.0
0.75,1.0,100,0,2.0,5000,0.8996483680124385,0.8815549662024477,0.1988214643125401,0.31876856627624806,0.14004292134831461,0.02222808988764045,0.002558202247191011,0.00017977528089887642,4.49438202247191e-06,0.0
1.0,0.75,0,100,0.5,5000,0.1256698872806938,0.12466694063380679,0.06669683950048558,0.11623626433301469,0.0069276404494382025,2.7415730337078653e-05,0.0,0.0,0.0,0.0
1.0,0.75,0,100,1.0,5000,0.26412189004992076,0.2594516884818656,0.1303070638374506,0.221419254149582,0.08146629213483146,0.005708089887640449,0.00023438202247191012,6.067415730337078e-06,0.0,0.0
1.0,0.75,0,100,2.0,5000,0.582896509651121,0.5589396940202933,0.24796262234923644,0.40168910562902355,0.28092539325842697,0.07746808988764045,0.018323595505617976,0.0032435955056179773,0.00040898876404494384,0.0
1.0,0.75,30,70,0.5,5000,0.1876750004561031,0.18691215881048473,0.03388283817010615,0.05264341824161734,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.75,30,70,1.0,5000,0.4082586703065598,0.40511952967587206,0.06704757557099415,0.10325456230373499,0.0012148314606741572,0.0,0.0,0.0,0.0,0.0
1.0,0.75,30,70,2.0,5000,0.9702485484321048,0.9533101036417544,0.1312268432291141,0.19853993954320906,0.03735191011235955,0.0009379775280898877,1.3258426966292135e-05,0.0,0.0,0.0
1.0,0.75,50,50,0.5,5000,0.23049144037496416,0.23010348754363275,0.028195675711371646,0.043855705745238,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.75,50,50,1.0,5000,0.511378050360716,0.509108835850536,0.0558456467839423,0.08625668351700114,0.0002008988764044944,0.0,0.0,0.0,0.0,0.0
1.0,0.75,50,50,2.0,5000,1.2679197265979891,1.2529528774412042,0.1097060791794966,0.16717615504635405,0.014569438202247192,0.0001296629213483146,0.0,0.0,0.0,0.0
1.0,0.75,70,30,0.5,5000,0.274515258458706,0.27374669144886166,0.03247520768475942,0.0510733814154302,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.75,70,30,1.0,5000,0.6203463687166927,0.6167085663657099,0.064290505075876,0.10031654473582899,0.0005346067415730337,0.0,0.0,0.0,0.0,0.0
1.0,0.75,70,30,2.0,5000,1.599723622303699,1.577562239712319,0.1260906124650853,0.19286343867897834,0.025972134831460676,0.0003885393258426966,0.0,0.0,0.0,0.0
1.0,0.75,100,0,0.5,5000,0.34285853477837075,0.34231889704686014,0.044057986320094306,0.06859259472525905,4.044943820224719e-06,0.0,0.0,0.0,0.0,0.0
1.0,0.75,100,0,1.0,5000,0.7951783095419758,0.7903631134381214,0.0869553446544653,0.13395309360567642,0.004179775280898876,3.3707865168539327e-06,0.0,0.0,0.0,0.0
1.0,0.75,100,0,2.0,5000,2.1659650751631103,2.1255331963946587,0.16929691046496226,0.2551764022448158,0.06448741573033707,0.0035943820224719103,9.078651685393259e-05,2.247191011235955e-07,0.0,0.0
0.75,0.75,0,100,0.5,5000,0.1256698872806938,0.12466694063380679,0.06669683950048558,0.11623626433301469,0.0069276404494382025,2.7415730337078653e-05,0.0,0.0,0.0,0.0
0.75,0.75,0,100,1.0,5000,0.26412189004992076,0.2594516884818656,0.1303070638374506,0.221419254149582,0.08146629213483146,0.005708089887640449,0.00023438202247191012,6.067415730337078e-06,0.0,0.0
0.75,0.75,0,100,2.0,5000,0.582896509651121,0.5589396940202933,0.24796262234923644,0.40168910562902355,0.28092539325842697,0.07746808988764045,0.018323595505617976,0.0032435955056179773,0.00040898876404494384,0.0
0.75,0.75,30,70,0.5,5000,0.14206486494033835,0.14157887789825518,0.039004636430758424,0.06379009969773762,2.1797752808988763e-05,0.0,0.0,0.0,0.0,0.0
0.75,0.75,30,70,1.0,5000,0.30239887002561716,0.29994860397693623,0.07704168677499718,0.12473142976022504,0.005799550561797753,1.5730337078651687e-05,0.0,0.0,0.0,0.0
0.75,0.75,30,70,2.0,5000,0.6863289269076357,0.6727333491026348,0.1501285339283247,0.23716783146290038,0.07585438202247191,0.004819775280898876,0.00016831460674157303,8.314606741573034e-06,0.0,0.0
0.75,0.75,50,50,0.5,5000,0.1528315047357962,0.15242440264800372,0.03289027453088507,0.05444674772678306,0.0,0.0,0.0,0.0,0.0,0.0
0.75,0.75,50,50,1.0,5000,0.3271985412938212,0.3250766331852961,0.06508694931953818,0.10668961655533339,0.0019433707865168539,0.0,0.0,0.0,0.0,0.0
0.75,0.75,50,50,2.0,5000,0.7518432703123359,0.7405123165267206,0.12725334527111065,0.20415565218802723,0.03982584269662921,0.0015406741573033708,4.719101123595506e-06,0.0,0.0,0.0
0.75,0.75,70,30,0.5,5000,0.16346085958167528,0.16330535938929114,0.03710701707610835,0.0626605209115661,2.247191011235955e-06,0.0,0.0,0.0,0.0,0.0
0.75,0.75,70,30,1.0,5000,0.3513629167032478,0.34982553379029824,0.0733207726009181,0.12224139599434025,0.004389438202247191,0.0,0.0,0.0,0.0,0.0
0.75,0.75,70,30,2.0,5000,0.8139697586543104,0.8037155559672304,0.14295716780149698,0.23303019120716031,0.062372808988764045,0.003661123595505618,7.797752808988764e-05,0.0,0.0,0.0
0.75,0.75,100,0,0.5,5000,0.17913516725434533,0.17891983987045035,0.05233618282195803,0.08777101705473936,0.0005820224719101124,0.0,0.0,0.0,0.0,0.0
0.75,0.75,100,0,1.0,5000,0.38630603827600624,0.3838364852265068,0.10288628311711537,0.1700500322812183,0.024094831460674156,0.00041932584269662923,2.247191011235955e-07,0.0,0.0,0.0
0.75,0.75,100,0,2.0,5000,0.8996483680124385,0.8815549662024477,0.1988214643125401,0.31876856627624806,0.14004292134831461,0.02222808988764045,0.002558202247191011,0.00017977528089887642,4.49438202247191e-06,0.0
0.5,1.0,0,100,0.5,5000,0.2773100471414888,0.2753986953350569,0.053643672188142796,0.08812606374029436,0.0004447191011235955,0.0,0.0,0.0,0.0,0.0
0.5,1.0,0,100,1.0,5000,0.6257565022124892,0.6171105840703612,0.10518541666542403,0.1697124213239497,0.020855056179775282,0.0003110112359550562,1.348314606741573e-06,0.0,0.0,0.0
0.5,1.0,0,100,2.0,5000,1.6062977248909793,1.5508098660174643,0.20234951346833824,0.3147843325784179,0.14219393258426966,0.018587865168539327,0.0018840449438202247,0.00014674157303370787,7.865168539325843e-06,0.0
0.5,1.0,30,70,0.5,5000,0.199918155994994,0.19877548337201256,0.03774632129622518,0.060508500425235576,8.98876404494382e-06,0.0,0.0,0.0,0.0,0.0
0.5,1.0,30,70,1.0,5000,0.4370801125570023,0.4325500801899175,0.07453614446626888,0.11810268610925408,0.003335955056179775,5.617977528089888e-06,0.0,0.0,0.0,0.0
0.5,1.0,30,70,2.0,5000,1.0497207031339495,1.025780827433568,0.14539852105926354,0.2256127966719413,0.05738516853932584,0.002711685393258427,7.078651685393259e-05,0.0,0.0,0.0
0.5,1.0,50,50,0.5,5000,0.15063732208435152,0.14995203056119377,0.03552095301963813,0.059537231886650076,0.0,0.0,0.0,0.0,0.0,0.0
0.5,1.0,50,50,1.0,5000,0.3222094267033344,0.31942500043497624,0.07013774162820903,0.11626716301614076,0.0037435955056179773,0.0,0.0,0.0,0.0,0.0
0.5,1.0,50,50,2.0,5000,0.7390080537258645,0.7246095715248617,0.13677896726849093,0.22143694125044533,0.05424539325842696,0.0030240449438202247,3.595505617977528e-05,0.0,0.0,0.0
0.5,1.0,70,30,0.5,5000,0.1031427212215322,0.10299272911473312,0.04321052886315549,0.07768033399479038,0.0002348314606741573,0.0,0.0,0.0,0.0,0.0
0.5,1.0,70,30,1.0,5000,0.215475658019838,0.21415702067213538,0.0851686684160485,0.1502413026733171,0.018055730337078652,0.00013640449438202248,0.0,0.0,0.0,0.0
0.5,1.0,70,30,2.0,5000,0.4703585947636695,0.4623755207121618,0.16537472584474006,0.2812671906005596,0.12177168539325843,0.015963370786516853,0.0014667415730337079,2.6741573033707864e-05,0.0,0.0
0.5,1.0,100,0,0.5,5000,0.03513184897391904,0.03530220975140308,0.07814245273817332,0.1514271756834477,0.041198202247191014,0.0005305617977528089,0.0,0.0,0.0,0.0
0.5,1.0,100,0,1.0,5000,0.06957695840755959,0.06865865562684936,0.1520828560428787,0.28362725699427027,0.21019752808988765,0.036461123595505615,0.004102921348314607,0.00010471910112359551,0.0,0.0
0.5,1.0,100,0,2.0,5000,0.13578063512289212,0.12867700798274873,0.28745275543143745,0.49983400078229634,0.44438134831460674,0.20740157303370788,0.08112876404494382,0.02612741573033708,0.006302921348314607,0.0
1.0,0.5,0,100,0.5,5000,-0.00815664482621723,-0.008755041322966173,0.12025082507737689,0.22554877280965308,0.18400067415730337,0.014131011235955056,0.00044719101123595503,0.0,0.0,0.0
1.0,0.5,0,100,1.0,5000,-0.017807747756994428,-0.020310645187362752,0.2290410753564891,0.4049555155101329,0.45979752808988766,0.17104314606741572,0.04409370786516854,0.006746067415730337,0.0006177528089887641,0.0
1.0,0.5,0,100,2.0,5000,-0.04145166067218236,-0.05154591919330842,0.41572964003849644,0.6562649716346316,0.6858033707865169,0.4563334831460674,0.2707089887640449,0.13849191011235956,0.05603101123595505,0.0
1.0,0.5,30,70,0.5,5000,0.0868871434300526,0.0866582242539875,0.04286658649298361,0.0732014047788043,0.00022314606741573033,0.0,0.0,0.0,0.0,0.0
1.0,0.5,30,70,1.0,5000,0.17985049413297333,0.17839066370286127,0.08457546212841291,0.14241048514283233,0.016450112359550562,0.0001496629213483146,0.0,0.0,0.0,0.0
1.0,0.5,30,70,2.0,5000,0.385107688364567,0.37697275272546715,0.16426373205972727,0.2683849643453396,0.1322876404494382,0.014592808988764045,0.0010840449438202248,4.808988764044944e-05,0.0,0.0
1.0,0.5,50,50,0.5,5000,0.1549207055049481,0.15463359356452566,0.03210778469083922,0.051962474904654894,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.5,50,50,1.0,5000,0.331707113370797,0.32989261281281157,0.06362346924464196,0.10188576408876918,0.0012696629213483147,0.0,0.0,0.0,0.0,0.0
1.0,0.5,50,50,2.0,5000,0.7621720030161518,0.7514758493488838,0.12443236751907,0.19547130402558444,0.03426314606741573,0.0009889887640449437,1.5730337078651686e-06,0.0,0.0,0.0
1.0,0.5,70,30,0.5,5000,0.22692757501994293,0.22658695769714088,0.034445947670569514,0.05457031483976187,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.5,70,30,1.0,5000,0.5017178541468621,0.4992546588421717,0.06815878540289089,0.10718391775104091,0.0012101123595505618,0.0,0.0,0.0,0.0,0.0
1.0,0.5,70,30,2.0,5000,1.2336601744991766,1.216438934462228,0.13316409370688198,0.20548959695814137,0.03639887640449438,0.000949438202247191,1.5730337078651686e-06,0.0,0.0,0.0
1.0,0.5,100,0,0.5,5000,0.34285853477837075,0.34231889704686014,0.044057986320094306,0.06859259472525905,4.044943820224719e-06,0.0,0.0,0.0,0.0,0.0
1.0,0.5,100,0,1.0,5000,0.7951783095419758,0.7903631134381214,0.0869553446544653,0.13395309360567642,0.004179775280898876,3.3707865168539327e-06,0.0,0.0,0.0,0.0
1.0,0.5,100,0,2.0,5000,2.1659650751631103,2.1255331963946587,0.16929691046496226,0.2551764022448158,0.06448741573033707,0.0035943820224719103,9.078651685393259e-05,2.247191011235955e-07,0.0,0.0
0.5,0.75,0,100,0.5,5000,0.1256698872806938,0.12466694063380679,0.06669683950048558,0.11623626433301469,0.0069276404494382025,2.7415730337078653e-05,0.0,0.0,0.0,0.0
0.5,0.75,0,100,1.0,5000,0.26412189004992076,0.2594516884818656,0.1303070638374506,0.221419254149582,0.08146629213483146,0.005708089887640449,0.00023438202247191012,6.067415730337078e-06,0.0,0.0
0.5,0.75,0,100,2.0,5000,0.582896509651121,0.5589396940202933,0.24796262234923644,0.40168910562902355,0.28092539325842697,0.07746808988764045,0.018323595505617976,0.0032435955056179773,0.00040898876404494384,0.0
0.5,0.75,30,70,0.5,5000,0.09818301116048234,0.09742643725901878,0.04673000082937145,0.08071617032217039,0.0004835955056179775,0.0,0.0,0.0,0.0,0.0
0.5,0.75,30,70,1.0,5000,0.2043951169842829,0.20160200980802256,0.0919718923458995,0.15637008247309772,0.024036629213483145,0.0003346067415730337,0.0,0.0,0.0,0.0
